Raumname,Raumnummer,Geschoss,Gebäude,Fläche [m²],Volumen [m³],SIA 416 Kategorie
Einbringöffnung / Anlieferung,A02,UG01,Hauptgebäude,21.3497997963058,0.0,Nutzfläche
Technik (Sprinkler),A05,UG01,Hauptgebäude,8.37517141060771,0.0,Nutzfläche
Lift,A29,UG01,Hauptgebäude,5.353000130511025,0.0,Nutzfläche
Technik,A06,UG01,Hauptgebäude,3.104053314692337,0.0,Nutzfläche
Technik,A07,UG01,Hauptgebäude,33.4164801605127,0.0,Nutzfläche
"Waschen, Trocken",A08,UG01,Hauptgebäude,17.260499282845487,0.0,Nutzfläche
Vorraum,A04,UG01,Hauptgebäude,32.120098656171315,0.0,Nutzfläche
Technik,A03,UG01,Hauptgebäude,37.925433493846995,0.0,Nutzfläche
Technik (Energy-Hub),A09,UG01,Hauptgebäude,191.42537021090786,0.0,Nutzfläche
Technik,A13,UG01,Hauptgebäude,36.84777664159649,0.0,Nutzfläche
Technik,A16,UG01,Hauptgebäude,14.274336768742918,0.0,Nutzfläche
Technik,A11,UG01,Hauptgebäude,21.536748763030946,0.0,Nutzfläche
Vorraum,A12,UG01,Hauptgebäude,59.027466618989436,0.0,Nutzfläche
Technik (Eawag),A17,UG01,Hauptgebäude,95.48284365160679,0.0,Nutzfläche
Treppe West,A15,UG01,Hauptgebäude,14.003159307813249,0.0,Nutzfläche
Treppe Ost,A01,UG01,Hauptgebäude,13.66437506822636,0.0,Nutzfläche
Technik,017,EG00,Hauptgebäude,8.404123037128722,0.0,Nutzfläche
Lift,029,EG00,Hauptgebäude,5.3530013981063576,0.0,Nutzfläche
Technik,018,EG00,Hauptgebäude,4.79907011943866,0.0,Nutzfläche
Treppe Nord,015,EG00,Hauptgebäude,24.98446690788952,0.0,Nutzfläche
Sitzungszimmer,012,EG00,Hauptgebäude,43.16026420659564,0.0,Nutzfläche
Technik,011,EG00,Hauptgebäude,16.698499058337937,0.0,Nutzfläche
WC Herren,016,EG00,Hauptgebäude,12.218003419468825,0.0,Nutzfläche
WC Damen,013,EG00,Hauptgebäude,10.589503019623027,0.0,Nutzfläche
Lager,014,EG00,Hauptgebäude,10.297021899358953,0.0,Nutzfläche
Windfang,010,EG00,Hauptgebäude,20.62859856413235,0.0,Nutzfläche
Büro,004,EG00,Hauptgebäude,18.862016204577625,0.0,Nutzfläche
Empfang,003,EG00,Hauptgebäude,19.387840057430413,0.0,Nutzfläche
Windfang,001,EG00,Hauptgebäude,8.525738414738171,0.0,Nutzfläche
Atrium,002,EG00,Hauptgebäude,224.48876401459552,0.0,Nutzfläche
Treppe Süd,025,EG00,Hauptgebäude,22.738809798158876,0.0,Nutzfläche
Technik,021,EG00,Hauptgebäude,16.74376576897544,0.0,Nutzfläche
Sitzungszimmer,022,EG00,Hauptgebäude,42.97495668290341,0.0,Nutzfläche
Reinigung,026,EG00,Hauptgebäude,16.06012680617529,0.0,Nutzfläche
WC,023,EG00,Hauptgebäude,4.00354341105425,0.0,Nutzfläche
Reinigung,027,EG00,Hauptgebäude,10.292931206064763,0.0,Nutzfläche
Windfang,020,EG00,Hauptgebäude,19.196464134961282,0.0,Nutzfläche
Technik,024,EG00,Hauptgebäude,14.892125418225424,0.0,Nutzfläche
Lift,129,OG01,Hauptgebäude,5.353001454109029,0.0,Nutzfläche
WC,113,OG01,Hauptgebäude,4.313357947206433,0.0,Nutzfläche
WC,114,OG01,Hauptgebäude,4.051703529353224,0.0,Nutzfläche
Reinigung,213,OG02,Hauptgebäude,4.889249602126663,0.0,Nutzfläche
Lift,229,OG02,Hauptgebäude,5.352994644470047,0.0,Nutzfläche
Reinigung,214,OG02,Hauptgebäude,5.792083167562302,0.0,Nutzfläche
Technik,112,OG01,Hauptgebäude,4.889250116483531,0.0,Nutzfläche
Technik,111,OG01,Hauptgebäude,16.744000108373584,0.0,Nutzfläche
Technik,123,OG01,Hauptgebäude,9.051950810709302,0.0,Nutzfläche
Technik,122,OG01,Hauptgebäude,7.430449658200719,0.0,Nutzfläche
Technik,121,OG01,Hauptgebäude,16.74400372233041,0.0,Nutzfläche
Präsentation,101,OG01,Hauptgebäude,111.12374659987461,0.0,Nutzfläche
Treppe Nord,110,OG01,Hauptgebäude,68.5178118271794,0.0,Nutzfläche
Treppe Süd,120,OG01,Hauptgebäude,71.6110963051104,0.0,Nutzfläche
Büro,124,OG01,Hauptgebäude,534.4567395364028,0.0,Nutzfläche
Technik,211,OG02,Hauptgebäude,16.74401036291328,0.0,Nutzfläche
Treppe Nord,210,OG02,Hauptgebäude,56.65661076587314,0.0,Nutzfläche
Technik,212,OG02,Hauptgebäude,2.7194788771807588,0.0,Nutzfläche
Aufenthaltsraum / Teeküche,201,OG02,Hauptgebäude,86.50273058327495,0.0,Nutzfläche
Reinigung,223,OG02,Hauptgebäude,4.604599742382478,0.0,Nutzfläche
Reinigung,222,OG02,Hauptgebäude,7.691089743584372,0.0,Nutzfläche
Technik,221,OG02,Hauptgebäude,16.743877828189266,0.0,Nutzfläche
WC,225,OG02,Hauptgebäude,4.306057700729977,0.0,Nutzfläche
WC,224,OG02,Hauptgebäude,4.051669793949318,0.0,Nutzfläche
Raum,116,OG02,Hauptgebäude,3.3319670220524316,0.0,Nutzfläche
Galerie,202,OG02,Hauptgebäude,19.889366474996315,0.0,Nutzfläche
Treppe Süd,220,OG02,Hauptgebäude,63.28328190638117,0.0,Nutzfläche
Terrasse,203,OG02,Hauptgebäude,27.19348734298606,0.0,Nutzfläche
Büro,226,OG02,Hauptgebäude,693.8063606350969,0.0,Nutzfläche
"Catering, Küche",303,OG03,Hauptgebäude,15.98691646357646,0.0,Nutzfläche
Lift,329,OG03,Hauptgebäude,5.352997745764722,0.0,Nutzfläche
Technik,311,OG03,Hauptgebäude,16.81897747718911,0.0,Nutzfläche
Treppe Nord,310,OG03,Hauptgebäude,59.537361950437976,0.0,Nutzfläche
WC,312,OG03,Hauptgebäude,4.144283117025074,0.0,Nutzfläche
WC,313,OG03,Hauptgebäude,4.341970543147442,0.0,Nutzfläche
Technik,322,OG03,Hauptgebäude,7.554764531750399,0.0,Nutzfläche
Treppe Süd,320,OG03,Hauptgebäude,68.5976826560302,0.0,Nutzfläche
Technik,321,OG03,Hauptgebäude,16.820895589395818,0.0,Nutzfläche
Galerie,302,OG03,Hauptgebäude,18.584176501241853,0.0,Nutzfläche
Multifunktionsraum,301,OG03,Hauptgebäude,111.94681478222132,0.0,Nutzfläche
Büro,306,OG03,Hauptgebäude,694.7509562367155,0.0,Nutzfläche
Raum,304,OG04,Hauptgebäude,5.352999699087499,0.0,Nutzfläche
